"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-10",,"75","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-11",,"73","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-12",,"76","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-13",,"73","38"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-14",,"72","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-15",,"76","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-16",,"69","46"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-17",,"68","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-18",,"71","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-19",,"71","41"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-20",,"63","42"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-21",,"62","48"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-22",,"71","36"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-23",,"70","38"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-24",,"71","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-25",,"68","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-26",,"74","36"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-27",,"68","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-28",,"68","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-29",,"68","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-30",,"73","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1961-12-31",,"71","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-01",,"68","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-02",,"75","39"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-03",,"70","36"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-04",,"69","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-05",,"71","36"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-06",,"71","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-07",,"73","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-08",,"71","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-09",,"73","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-10",,"68","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-11",,"65","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-12",,"68","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-13",,"68","32"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-14",,"71","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-15",,"75","32"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-16",,"77","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-17",,"71","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-18",,"75","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-19",,"75","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-20",,"73","36"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-21",,"75","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-22",,"75","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-23",,"76","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-24",,"77","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-25",,"75","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-26",,"77","35"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-27",,"77","37"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-28",,"71","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-29",,"69","36"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-30",,"71","30"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-01-31",,"69","33"
"MXM00076683","TLAXCALA DE XICONTECATL DGE, MX","1962-02-01",,"73","35"
