"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-01",,"23","15"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-02",,"21","16"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-03",,"27","17"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-04",,"25","22"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-05",,"34","16"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-06",,"39","21"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-07",,"40","32"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-08",,"48","34"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-09",,"49","30"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-10",,"41","31"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-11",,"48","28"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-12",,"41","27"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-13",,"47","26"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-14",,"58","28"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-15",,"58","43"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-16",,"48","36"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-17",,"52","28"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-18",,"49","27"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-19",,"49","27"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-20",,"46","22"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-21",,"28","22"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-22",,"28","25"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-23",,"30","26"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-24",,"35","28"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-25",,"38","20"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-26",,"40","20"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-27",,"39","15"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-28",,"32","16"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-29",,"32","27"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-30",,"46","25"
"USW00024243","YAKIMA AIRPORT, WA US","1961-01-31",,"58","29"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-01",,"41","28"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-02",,"44","31"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-03",,"48","30"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-04",,"46","32"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-05",,"47","38"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-06",,"48","30"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-07",,"50","25"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-08",,"45","34"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-09",,"44","35"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-10",,"45","39"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-11",,"52","38"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-12",,"49","33"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-13",,"56","33"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-14",,"44","29"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-15",,"54","32"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-16",,"48","30"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-17",,"51","29"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-18",,"43","25"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-19",,"61","30"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-20",,"62","38"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-21",,"60","37"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-22",,"52","31"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-23",,"50","25"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-24",,"59","29"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-25",,"52","26"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-26",,"49","22"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-27",,"56","33"
"USW00024243","YAKIMA AIRPORT, WA US","1961-02-28",,"52","30"
"USW00024243","YAKIMA AIRPORT, WA US","1961-03-01",,"55","34"
"USW00024243","YAKIMA AIRPORT, WA US","1961-03-02",,"47","23"
