"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"GL000004320","DANMARKSHAVN, GL","1961-01-01",,"0","-21"
"GL000004320","DANMARKSHAVN, GL","1961-01-02",,"-4","-22"
"GL000004320","DANMARKSHAVN, GL","1961-01-03",,"-4","-26"
"GL000004320","DANMARKSHAVN, GL","1961-01-04",,"-18","-33"
"GL000004320","DANMARKSHAVN, GL","1961-01-05",,"-2","-22"
"GL000004320","DANMARKSHAVN, GL","1961-01-06",,"0","-17"
"GL000004320","DANMARKSHAVN, GL","1961-01-07",,"-7","-31"
"GL000004320","DANMARKSHAVN, GL","1961-01-08",,"-16","-29"
"GL000004320","DANMARKSHAVN, GL","1961-01-09",,"-16","-36"
"GL000004320","DANMARKSHAVN, GL","1961-01-10",,"-22","-37"
"GL000004320","DANMARKSHAVN, GL","1961-01-11",,"-15","-35"
"GL000004320","DANMARKSHAVN, GL","1961-01-12",,"11","-35"
"GL000004320","DANMARKSHAVN, GL","1961-01-13",,"27","2"
"GL000004320","DANMARKSHAVN, GL","1961-01-14",,"29","23"
"GL000004320","DANMARKSHAVN, GL","1961-01-15",,"28","14"
"GL000004320","DANMARKSHAVN, GL","1961-01-16",,"28","-8"
"GL000004320","DANMARKSHAVN, GL","1961-01-17",,"2","-18"
"GL000004320","DANMARKSHAVN, GL","1961-01-18",,"0","-20"
"GL000004320","DANMARKSHAVN, GL","1961-01-19",,"-1","-17"
"GL000004320","DANMARKSHAVN, GL","1961-01-20",,"-4","-30"
"GL000004320","DANMARKSHAVN, GL","1961-01-21",,"-4","-24"
"GL000004320","DANMARKSHAVN, GL","1961-01-22",,"-9","-23"
"GL000004320","DANMARKSHAVN, GL","1961-01-23",,"11","-20"
"GL000004320","DANMARKSHAVN, GL","1961-01-24",,"11","-17"
"GL000004320","DANMARKSHAVN, GL","1961-01-25",,"-9","-20"
"GL000004320","DANMARKSHAVN, GL","1961-01-26",,"1","-18"
"GL000004320","DANMARKSHAVN, GL","1961-01-27",,"3","-8"
"GL000004320","DANMARKSHAVN, GL","1961-01-28",,"11","-1"
"GL000004320","DANMARKSHAVN, GL","1961-01-29",,"11","-14"
"GL000004320","DANMARKSHAVN, GL","1961-01-30",,"8","-11"
"GL000004320","DANMARKSHAVN, GL","1961-01-31",,"0","-24"
"GL000004320","DANMARKSHAVN, GL","1961-02-01",,"-13","-32"
"GL000004320","DANMARKSHAVN, GL","1961-02-02",,"-4","-19"
"GL000004320","DANMARKSHAVN, GL","1961-02-03",,"-4","-18"
"GL000004320","DANMARKSHAVN, GL","1961-02-04",,"-9","-30"
"GL000004320","DANMARKSHAVN, GL","1961-02-05",,"-11","-23"
"GL000004320","DANMARKSHAVN, GL","1961-02-06",,"-8","-22"
"GL000004320","DANMARKSHAVN, GL","1961-02-07",,"-9","-32"
"GL000004320","DANMARKSHAVN, GL","1961-02-08",,"-23","-33"
"GL000004320","DANMARKSHAVN, GL","1961-02-09",,"-21","-36"
"GL000004320","DANMARKSHAVN, GL","1961-02-10",,"-13","-23"
"GL000004320","DANMARKSHAVN, GL","1961-02-11",,"-14","-31"
"GL000004320","DANMARKSHAVN, GL","1961-02-12",,"-19","-35"
"GL000004320","DANMARKSHAVN, GL","1961-02-13",,"-24","-36"
"GL000004320","DANMARKSHAVN, GL","1961-02-14",,"-27","-37"
"GL000004320","DANMARKSHAVN, GL","1961-02-15",,"-21","-39"
"GL000004320","DANMARKSHAVN, GL","1961-02-16",,"-18","-37"
"GL000004320","DANMARKSHAVN, GL","1961-02-17",,"-18","-34"
"GL000004320","DANMARKSHAVN, GL","1961-02-18",,"-18","-34"
"GL000004320","DANMARKSHAVN, GL","1961-02-19",,"-7","-27"
"GL000004320","DANMARKSHAVN, GL","1961-02-20",,"16","-10"
"GL000004320","DANMARKSHAVN, GL","1961-02-21",,"16","2"
"GL000004320","DANMARKSHAVN, GL","1961-02-22",,"16","-1"
"GL000004320","DANMARKSHAVN, GL","1961-02-23",,"16","-6"
"GL000004320","DANMARKSHAVN, GL","1961-02-24",,"9","-12"
"GL000004320","DANMARKSHAVN, GL","1961-02-25",,"9","-13"
"GL000004320","DANMARKSHAVN, GL","1961-02-26",,"1","-21"
"GL000004320","DANMARKSHAVN, GL","1961-02-27",,"-4","-29"
"GL000004320","DANMARKSHAVN, GL","1961-02-28",,"-4","-23"
